date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:03	31665/31665	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a4ae-7bb1%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_with_sp1_x64_dvd_622846.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_with_sp1_x64_dvd_622846.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:04	31645/31645	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d8fc-7b9d%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-59885.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-59885.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:04	31687/31687	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a517-7bc7%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_with_sp1_x64_dvd_u_676919.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_with_sp1_x64_dvd_u_676919.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:04	24405/24405	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d92a-5f55%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-59886.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-59886.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:04	24447/24447	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a574-5f7f%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_with_sp1_x86_dvd_u_677093.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_with_sp1_x86_dvd_u_677093.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:08	10985/10985	---MCZ	200	added ('OK')	text/plain	etag:W/%2255ca4d2c-2ae9%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-59323.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-59323.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:08	28325/28325	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d959-6ea5%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-59327.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-59327.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:08	11029/11029	---MCZ	200	added ('OK')	text/plain	etag:W/%2255ca4d42-2b15%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_n_with_sp1_x86_dvd_u_677308.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_n_with_sp1_x86_dvd_u_677308.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:08	28369/28369	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a473-6ed1%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_n_with_sp1_x64_dvd_u_677183.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_professional_n_with_sp1_x64_dvd_u_677183.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:15	31661/31661	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a1fc-7bad%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_with_sp1_x64_dvd_618254.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_with_sp1_x64_dvd_618254.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:15	24443/24443	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a609-5f7b%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_with_sp1_x86_dvd_u_677456.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_with_sp1_x86_dvd_u_677456.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:15	31683/31683	---M--	200	added ('OK')	application/octet-stream	etag:%225540a2c0-7bc3%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_with_sp1_x64_dvd_u_677306.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_with_sp1_x64_dvd_u_677306.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:15	14405/14405	---MCZ	200	added ('OK')	text/plain	etag:W/%2255ca51d9-3845%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_n_with_sp1_x64_dvd_u_677540.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_n_with_sp1_x64_dvd_u_677540.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:21	11025/11025	---MCZ	200	added ('OK')	text/plain	etag:W/%2255ca5302-2b11%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_n_with_sp1_x86_dvd_u_677595.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_ultimate_n_with_sp1_x86_dvd_u_677595.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:22	24962/24962	---M--	200	added ('OK')	application/octet-stream	etag:%225540d112-6182%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_starter_with_sp1_x86_dvd_u_678562.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_starter_with_sp1_x86_dvd_u_678562.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:24	24965/24965	---M--	200	added ('OK')	application/octet-stream	etag:%225540a6ec-6185%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_basic_with_sp1_x86_dvd_u_676470.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_basic_with_sp1_x86_dvd_u_676470.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:25	24965/24965	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d151-6185%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_premium_with_sp1_x86_dvd_620895.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_premium_with_sp1_x86_dvd_620895.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:26	32165/32165	---M--	200	added ('OK')	application/octet-stream	etag:%225540a711-7da5%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_premium_with_sp1_x64_dvd_620851.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_premium_with_sp1_x64_dvd_620851.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:27	24925/24925	---MCZ	200	added ('OK')	text/plain	etag:W/%225540e0ee-615d%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-58996.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-58996.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:28	24967/24967	---M--	200	added ('OK')	application/octet-stream	etag:%225540d236-6187%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_premium_with_sp1_x86_dvd_u_676701.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_premium_with_sp1_x86_dvd_u_676701.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:30	32145/32145	---MCZ	200	added ('OK')	text/plain	etag:W/%225540e10b-7d91%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-58997.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-58997.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:30	32187/32187	---M--	200	added ('OK')	application/octet-stream	etag:%225540d254-7dbb%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_premium_with_sp1_x64_dvd_u_676549.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_home_premium_with_sp1_x64_dvd_u_676549.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:31	24325/24325	---MCZ	200	added ('OK')	text/plain	etag:W/%225540e124-5f05%22	http://mirror.corenoc.de/digitalrivercontent.net/X15-65804.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X15-65804.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:32	24359/24359	---M--	200	added ('OK')	application/octet-stream	etag:%225540d26c-5f27%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_x86_dvd_x15-65804.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_x86_dvd_x15-65804.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
